transaction_narration,label
Investment in NPS Rs 5376 Ref:fd1d5702,investment
Payment of Rs 28686 at Cafe Coffee Day Ref:e22b9ab1,food
Online purchase at DMart Rs 38240 Ref:888ffe98,shopping
Home Loan EMI deducted Rs 25669 Ref:1325d3a0,emi
Online purchase at Croma Rs 18429 Ref:a4621cb1,shopping
Personal Loan EMI deducted Rs 2583 Ref:fb1b28c1,emi
Personal Loan EMI deducted Rs 9818 Ref:0956d05a,emi
Car Loan EMI deducted Rs 22477 Ref:2eb2497e,emi
Investment in PPF Rs 18143 Ref:dbad00f9,investment
Education Loan EMI deducted Rs 47551 Ref:b3e0b115,emi
Travel booking via Ola amount Rs 32470 Ref:a89faec3,travel
Travel booking via Uber amount Rs 3006 Ref:9602eb38,travel
Investment in Fixed Deposit Rs 8813 Ref:9ae08e11,investment
Personal Loan EMI deducted Rs 40376 Ref:bb4dcf88,emi
Home Loan EMI deducted Rs 5787 Ref:92a4f052,emi
Online purchase at Croma Rs 1758 Ref:f4f96440,shopping
Personal Loan EMI deducted Rs 16834 Ref:53570ea1,emi
Investment in Fixed Deposit Rs 44662 Ref:ff94377a,investment
Online purchase at Croma Rs 36648 Ref:4cd7982f,shopping
Home Loan EMI deducted Rs 8197 Ref:157ed514,emi
Home Loan EMI deducted Rs 29487 Ref:dc57fc8d,emi
Car Loan EMI deducted Rs 32330 Ref:e9ab61f8,emi
Investment in NPS Rs 5805 Ref:07e9ecb6,investment
Travel booking via Uber amount Rs 9234 Ref:4f05b14c,travel
Payment of Rs 10934 at Restaurant Ref:cb4c5a3c,food
Payment of Rs 28483 at Swiggy Ref:6bf33acc,food
Travel booking via SpiceJet amount Rs 34103 Ref:8a92e7b1,travel
Online purchase at Croma Rs 15117 Ref:653754f2,shopping
Payment of Rs 33836 at McDonalds Ref:3b88672a,food
Personal Loan EMI deducted Rs 28409 Ref:4083ac92,emi
Online purchase at Croma Rs 49770 Ref:84ce0248,shopping
Travel booking via IndiGo amount Rs 37409 Ref:387a16aa,travel
Home Loan EMI deducted Rs 1975 Ref:2131b55b,emi
Travel booking via SpiceJet amount Rs 39111 Ref:a7272247,travel
Investment in NPS Rs 29271 Ref:0b0cddfd,investment
Online purchase at Myntra Rs 39477 Ref:49d5f036,shopping
Investment in Fixed Deposit Rs 14549 Ref:e844f758,investment
Payment of Rs 34047 at Swiggy Ref:53f98642,food
Investment in PPF Rs 8079 Ref:93d97883,investment
Online purchase at Flipkart Rs 21286 Ref:a29f701c,shopping
Travel booking via Uber amount Rs 11276 Ref:a2b24e73,travel
Investment in Mutual Fund Rs 33388 Ref:2beadd27,investment
Payment of Rs 39168 at McDonalds Ref:f88fac82,food
Payment of Rs 32087 at Restaurant Ref:d2dc9378,food
Travel booking via SpiceJet amount Rs 32268 Ref:2bb85003,travel
Payment of Rs 44225 at McDonalds Ref:e5439703,food
Home Loan EMI deducted Rs 2616 Ref:35a3d853,emi
Travel booking via SpiceJet amount Rs 20753 Ref:aaa4edc6,travel
Investment in Mutual Fund Rs 23121 Ref:23eb1fb2,investment
Home Loan EMI deducted Rs 29443 Ref:a6810e8c,emi
Payment of Rs 28424 at Zomato Ref:f9b12f10,food
Payment of Rs 18830 at McDonalds Ref:db98f360,food
Online purchase at Flipkart Rs 35733 Ref:20574eb1,shopping
Payment of Rs 46806 at Swiggy Ref:b36c19fa,food
Investment in Stocks Rs 49176 Ref:d51b1fff,investment
Car Loan EMI deducted Rs 34787 Ref:890c5044,emi
Online purchase at Amazon Rs 24016 Ref:54f8d3fb,shopping
Investment in Stocks Rs 5027 Ref:83624e03,investment
Travel booking via Metro amount Rs 22066 Ref:d11570d7,travel
Car Loan EMI deducted Rs 18210 Ref:216c66c7,emi
Payment of Rs 45556 at Cafe Coffee Day Ref:d1a1d423,food
Car Loan EMI deducted Rs 43370 Ref:bff891fd,emi
Investment in NPS Rs 23026 Ref:1c1b096c,investment
Online purchase at Flipkart Rs 39450 Ref:873d5339,shopping
Investment in NPS Rs 49212 Ref:65fcd1bd,investment
Online purchase at DMart Rs 48953 Ref:ecb6765b,shopping
Home Loan EMI deducted Rs 1619 Ref:99d433ec,emi
Online purchase at DMart Rs 5136 Ref:0088b242,shopping
Investment in SIP Rs 13972 Ref:4f1da309,investment
Travel booking via Metro amount Rs 28288 Ref:68ac83e7,travel
Travel booking via IndiGo amount Rs 44362 Ref:23b4af6e,travel
Payment of Rs 15052 at Cafe Coffee Day Ref:20a685b6,food
Payment of Rs 3544 at Zomato Ref:77e18337,food
Investment in Fixed Deposit Rs 12092 Ref:54fda13c,investment
Home Loan EMI deducted Rs 34950 Ref:c90eae82,emi
Investment in Stocks Rs 32989 Ref:7b8c30ec,investment
Investment in NPS Rs 15563 Ref:8cb1f0f3,investment
Investment in Mutual Fund Rs 15850 Ref:f47cbfa4,investment
Online purchase at Reliance Trends Rs 4344 Ref:66ff5f96,shopping
Travel booking via Uber amount Rs 7564 Ref:86ed97f3,travel
Travel booking via Uber amount Rs 22962 Ref:35b00d91,travel
Travel booking via IRCTC amount Rs 26865 Ref:52ab3c19,travel
Travel booking via Metro amount Rs 32866 Ref:bfb8133e,travel
Investment in NPS Rs 6515 Ref:5368574c,investment
Online purchase at Flipkart Rs 12460 Ref:a833a7e6,shopping
Travel booking via Ola amount Rs 1024 Ref:5a34edb7,travel
Home Loan EMI deducted Rs 38972 Ref:5580ef91,emi
Travel booking via SpiceJet amount Rs 33735 Ref:76102fca,travel
Online purchase at Flipkart Rs 8059 Ref:36d5d79d,shopping
Home Loan EMI deducted Rs 40498 Ref:c29480d2,emi
Car Loan EMI deducted Rs 21620 Ref:2f328f69,emi
Online purchase at Reliance Trends Rs 42018 Ref:c583873c,shopping
Online purchase at DMart Rs 5797 Ref:fa59a940,shopping
Education Loan EMI deducted Rs 37619 Ref:f1837c7e,emi
Travel booking via Uber amount Rs 27774 Ref:57638767,travel
Home Loan EMI deducted Rs 25854 Ref:ac0f217d,emi
Investment in NPS Rs 17851 Ref:3eae039d,investment
Travel booking via Uber amount Rs 25576 Ref:dc8a0a2a,travel
Home Loan EMI deducted Rs 38734 Ref:e51e6b95,emi
Online purchase at Amazon Rs 9373 Ref:20aac9f3,shopping
Online purchase at DMart Rs 35121 Ref:f571ceeb,shopping
Investment in Fixed Deposit Rs 22234 Ref:f5e29f14,investment
Payment of Rs 37838 at Swiggy Ref:8d9dfe3b,food
Payment of Rs 15611 at Restaurant Ref:73dcd1e8,food
Payment of Rs 21519 at Dominos Ref:c1c626f3,food
Investment in PPF Rs 6764 Ref:13fa1d45,investment
Online purchase at Croma Rs 25471 Ref:a2b43961,shopping
Online purchase at Reliance Trends Rs 9576 Ref:5b9b1275,shopping
Online purchase at Flipkart Rs 17758 Ref:6feb654e,shopping
Investment in NPS Rs 22006 Ref:9f4f8d07,investment
Investment in PPF Rs 27543 Ref:3021cc62,investment
Investment in NPS Rs 28103 Ref:9cd9ab70,investment
Travel booking via Ola amount Rs 16762 Ref:f6ecd5c1,travel
Travel booking via IRCTC amount Rs 42395 Ref:9eabde33,travel
Car Loan EMI deducted Rs 5226 Ref:38a10519,emi
Home Loan EMI deducted Rs 9134 Ref:4a18a7fe,emi
Online purchase at Flipkart Rs 26219 Ref:64134714,shopping
Travel booking via Uber amount Rs 10224 Ref:316407ec,travel
Travel booking via IRCTC amount Rs 6518 Ref:6c6e362c,travel
Travel booking via Metro amount Rs 32763 Ref:e2c4314e,travel
Investment in SIP Rs 41182 Ref:59f3f14a,investment
Home Loan EMI deducted Rs 10449 Ref:08af0084,emi
Payment of Rs 8014 at Swiggy Ref:c9786e62,food
Travel booking via Uber amount Rs 26383 Ref:6c5d5e88,travel
Travel booking via Ola amount Rs 4678 Ref:d82643af,travel
Payment of Rs 22279 at Swiggy Ref:a27c970a,food
Travel booking via IRCTC amount Rs 38059 Ref:69c1e9cc,travel
Travel booking via Metro amount Rs 11821 Ref:53ba951c,travel
Travel booking via IRCTC amount Rs 28486 Ref:75888833,travel
Investment in Fixed Deposit Rs 45918 Ref:e5bc897e,investment
Travel booking via Ola amount Rs 36015 Ref:be0c715d,travel
Payment of Rs 8933 at Swiggy Ref:b2f2de25,food
Travel booking via Ola amount Rs 45225 Ref:145e8534,travel
Car Loan EMI deducted Rs 23499 Ref:50512342,emi
Payment of Rs 4002 at Restaurant Ref:354e7cb9,food
Travel booking via Ola amount Rs 19368 Ref:c91c82b1,travel
Travel booking via IndiGo amount Rs 39070 Ref:ab41f54f,travel
Online purchase at Myntra Rs 642 Ref:4959f5db,shopping
Travel booking via Uber amount Rs 43718 Ref:4150bd6c,travel
Travel booking via Uber amount Rs 843 Ref:9e27af16,travel
Payment of Rs 21403 at Swiggy Ref:b66767a0,food
Online purchase at Amazon Rs 330 Ref:e518078c,shopping
Investment in NPS Rs 43873 Ref:49362b28,investment
Investment in NPS Rs 1054 Ref:ea66ceb5,investment
Payment of Rs 20370 at Zomato Ref:35e1907e,food
Education Loan EMI deducted Rs 12262 Ref:f13d54cb,emi
Payment of Rs 33037 at McDonalds Ref:dabeef0f,food
Online purchase at Amazon Rs 38254 Ref:6ee1c60c,shopping
Travel booking via SpiceJet amount Rs 19679 Ref:42a6db33,travel
Payment of Rs 16653 at Dominos Ref:c35135f6,food
Online purchase at Flipkart Rs 29056 Ref:8b66495c,shopping
Payment of Rs 45459 at Restaurant Ref:4c66a814,food
Car Loan EMI deducted Rs 20278 Ref:699b56dc,emi
Investment in PPF Rs 6828 Ref:29054124,investment
Home Loan EMI deducted Rs 18141 Ref:1ca94a53,emi
Online purchase at Myntra Rs 924 Ref:6ca61471,shopping
Online purchase at Myntra Rs 21230 Ref:d86d38fe,shopping
Education Loan EMI deducted Rs 17974 Ref:fe4ad4b3,emi
Travel booking via SpiceJet amount Rs 10626 Ref:20f3ab66,travel
Travel booking via IRCTC amount Rs 45208 Ref:8eea0e79,travel
Online purchase at DMart Rs 18255 Ref:9f078265,shopping
Investment in Fixed Deposit Rs 34501 Ref:720fcade,investment
Travel booking via SpiceJet amount Rs 49133 Ref:fca938d0,travel
Investment in Fixed Deposit Rs 46266 Ref:f7431920,investment
Online purchase at Flipkart Rs 10217 Ref:5c0621e8,shopping
Online purchase at Amazon Rs 22429 Ref:f6726db0,shopping
Investment in PPF Rs 31629 Ref:3165b9e6,investment
Online purchase at Myntra Rs 15881 Ref:5b0fc006,shopping
Payment of Rs 30243 at Dominos Ref:4175cda3,food
Investment in PPF Rs 1767 Ref:766f6e0d,investment
Travel booking via Ola amount Rs 28177 Ref:3a0461d6,travel
Investment in SIP Rs 35660 Ref:6b48cdba,investment
Travel booking via Ola amount Rs 37961 Ref:0ba7bbc3,travel
Travel booking via SpiceJet amount Rs 23075 Ref:ca00df1b,travel
Payment of Rs 30934 at Cafe Coffee Day Ref:d31b1034,food
Investment in Mutual Fund Rs 31418 Ref:2fc3fb1c,investment
Travel booking via SpiceJet amount Rs 40550 Ref:9b2a036a,travel
Investment in SIP Rs 34543 Ref:569bbe28,investment
Investment in Mutual Fund Rs 4923 Ref:6fc38a83,investment
Travel booking via Metro amount Rs 24062 Ref:7daa8814,travel
Personal Loan EMI deducted Rs 28348 Ref:96c21c15,emi
Home Loan EMI deducted Rs 49269 Ref:8258682a,emi
Investment in SIP Rs 31427 Ref:6975cf16,investment
Travel booking via Uber amount Rs 37776 Ref:b889e149,travel
Travel booking via IRCTC amount Rs 7412 Ref:632e1df2,travel
Online purchase at Reliance Trends Rs 15322 Ref:87fdaad8,shopping
Education Loan EMI deducted Rs 11169 Ref:16eb5a44,emi
Online purchase at Myntra Rs 39455 Ref:05a7c2b3,shopping
Travel booking via Ola amount Rs 6350 Ref:3a360939,travel
Travel booking via IndiGo amount Rs 46996 Ref:028e71c5,travel
Online purchase at DMart Rs 26761 Ref:139a7f9b,shopping
Home Loan EMI deducted Rs 29347 Ref:779f03c2,emi
Investment in Stocks Rs 7144 Ref:a30fbe00,investment
Travel booking via Metro amount Rs 42020 Ref:63e79db7,travel
Payment of Rs 46735 at McDonalds Ref:dabe9610,food
Travel booking via IRCTC amount Rs 5943 Ref:2d6ada0b,travel
Investment in PPF Rs 40645 Ref:f9d7b4f1,investment
Investment in NPS Rs 22178 Ref:7d36a649,investment
Education Loan EMI deducted Rs 46348 Ref:af0eea01,emi
Home Loan EMI deducted Rs 36468 Ref:987dc75a,emi
Investment in NPS Rs 42287 Ref:0ff90aa0,investment
Investment in PPF Rs 17459 Ref:01261c8d,investment
Investment in PPF Rs 18230 Ref:b0845145,investment
Education Loan EMI deducted Rs 14177 Ref:59a5d9dc,emi
Travel booking via Ola amount Rs 2591 Ref:4d554e84,travel
Payment of Rs 45859 at Restaurant Ref:d45a9170,food
Travel booking via Ola amount Rs 46789 Ref:372ace80,travel
Investment in Mutual Fund Rs 9351 Ref:578f2360,investment
Payment of Rs 26741 at Zomato Ref:21d694a9,food
Travel booking via Ola amount Rs 25721 Ref:722b6e00,travel
Online purchase at Reliance Trends Rs 16117 Ref:6e241916,shopping
Payment of Rs 15443 at Zomato Ref:8f6d510f,food
Home Loan EMI deducted Rs 31540 Ref:27896fbb,emi
Investment in NPS Rs 8670 Ref:e0a190af,investment
Payment of Rs 27142 at Restaurant Ref:5dd379ae,food
Online purchase at Croma Rs 21397 Ref:752feaa4,shopping
Payment of Rs 16205 at Dominos Ref:535b710a,food
Payment of Rs 44949 at Zomato Ref:fe5d5749,food
Online purchase at DMart Rs 27166 Ref:6814d5fe,shopping
Investment in Fixed Deposit Rs 34381 Ref:a0a1ba00,investment
Online purchase at DMart Rs 20412 Ref:494bffa3,shopping
Travel booking via Metro amount Rs 43020 Ref:6c6dd767,travel
Investment in SIP Rs 11745 Ref:ac292bbe,investment
Travel booking via Ola amount Rs 41804 Ref:95cc9257,travel
Travel booking via IndiGo amount Rs 37858 Ref:fb296aad,travel
Home Loan EMI deducted Rs 38187 Ref:afbaedac,emi
Home Loan EMI deducted Rs 38554 Ref:e85dc05b,emi
Payment of Rs 24934 at Cafe Coffee Day Ref:c8b190e2,food
Investment in Stocks Rs 7314 Ref:77d5a1cb,investment
Education Loan EMI deducted Rs 31405 Ref:15929600,emi
Home Loan EMI deducted Rs 22861 Ref:6e419511,emi
Payment of Rs 36962 at Cafe Coffee Day Ref:495fcbfd,food
Investment in Fixed Deposit Rs 33508 Ref:a4589307,investment
Payment of Rs 7842 at Swiggy Ref:7d6e4ecb,food
Travel booking via IRCTC amount Rs 13461 Ref:26bd425f,travel
Investment in Mutual Fund Rs 34393 Ref:d70496eb,investment
Travel booking via SpiceJet amount Rs 25235 Ref:b4b1491e,travel
Travel booking via SpiceJet amount Rs 27008 Ref:09a2aa63,travel
Investment in NPS Rs 30453 Ref:ed063461,investment
Investment in Stocks Rs 34061 Ref:794e4362,investment
Online purchase at Amazon Rs 17199 Ref:df7bd7dc,shopping
Online purchase at Amazon Rs 3309 Ref:71793f5f,shopping
Online purchase at DMart Rs 2329 Ref:c9f99fdb,shopping
Payment of Rs 14170 at Restaurant Ref:625ca8d5,food
Payment of Rs 2453 at Dominos Ref:356ebe42,food
Payment of Rs 13363 at Zomato Ref:9eea301f,food
Investment in Fixed Deposit Rs 22806 Ref:763c564c,investment
Online purchase at Croma Rs 12274 Ref:aabf8ecf,shopping
Education Loan EMI deducted Rs 14765 Ref:8393eb88,emi
Investment in Fixed Deposit Rs 863 Ref:5d301d99,investment
Investment in NPS Rs 19220 Ref:d59d4d8f,investment
Payment of Rs 13836 at McDonalds Ref:2ce83132,food
Payment of Rs 13930 at McDonalds Ref:4f474483,food
Personal Loan EMI deducted Rs 10391 Ref:12c52039,emi
Online purchase at Myntra Rs 48235 Ref:ea3ca605,shopping
Investment in PPF Rs 36817 Ref:22bd65d3,investment
Online purchase at Reliance Trends Rs 998 Ref:c94e83df,shopping
Investment in NPS Rs 36346 Ref:8e13405f,investment
Personal Loan EMI deducted Rs 5019 Ref:9a7a0867,emi
Online purchase at Flipkart Rs 12981 Ref:c77df05c,shopping
Education Loan EMI deducted Rs 9660 Ref:d4cfbcfa,emi
Online purchase at Myntra Rs 46667 Ref:0891e565,shopping
Travel booking via Ola amount Rs 9259 Ref:eb25b4f6,travel
Investment in Stocks Rs 49618 Ref:71b69167,investment
Investment in Stocks Rs 7226 Ref:14c7f341,investment
Travel booking via SpiceJet amount Rs 28664 Ref:bc8a534b,travel
Travel booking via Uber amount Rs 27801 Ref:2bc3b8e7,travel
Travel booking via Metro amount Rs 32175 Ref:9ae6cc09,travel
Payment of Rs 12800 at Dominos Ref:8d202997,food
Education Loan EMI deducted Rs 10125 Ref:a4522ab6,emi
Travel booking via Ola amount Rs 4658 Ref:63c26196,travel
Investment in Stocks Rs 39889 Ref:19fa5ecc,investment
Travel booking via Uber amount Rs 25684 Ref:274d593d,travel
Online purchase at Croma Rs 26084 Ref:6888aaf5,shopping
Travel booking via SpiceJet amount Rs 7412 Ref:4be7559a,travel
Payment of Rs 24098 at Cafe Coffee Day Ref:a8ac556a,food
Payment of Rs 3344 at Zomato Ref:677eab7f,food
Car Loan EMI deducted Rs 43761 Ref:762591ba,emi
Car Loan EMI deducted Rs 19506 Ref:de35edad,emi
Payment of Rs 10990 at Zomato Ref:1504c45f,food
Payment of Rs 22508 at Zomato Ref:b78f9c4b,food
Payment of Rs 43949 at Swiggy Ref:2d87f724,food
Payment of Rs 32516 at Swiggy Ref:7b11160f,food
Education Loan EMI deducted Rs 28650 Ref:d02dbb83,emi
Travel booking via Uber amount Rs 33207 Ref:0ee011ff,travel
Online purchase at DMart Rs 47040 Ref:bb9e8ece,shopping
Travel booking via IndiGo amount Rs 24564 Ref:c8450768,travel
Payment of Rs 8699 at Dominos Ref:e737dc46,food
Personal Loan EMI deducted Rs 23821 Ref:469eb7c4,emi
Payment of Rs 16240 at Restaurant Ref:fe41e802,food
Car Loan EMI deducted Rs 21623 Ref:a1c6582c,emi
Home Loan EMI deducted Rs 23817 Ref:35f023cf,emi
Personal Loan EMI deducted Rs 4125 Ref:b91ae91b,emi
Online purchase at Reliance Trends Rs 9426 Ref:1efe55ad,shopping
Online purchase at Croma Rs 24778 Ref:9ab2852f,shopping
Investment in PPF Rs 18252 Ref:e903aeb6,investment
Education Loan EMI deducted Rs 17338 Ref:4dbbe501,emi
Education Loan EMI deducted Rs 28565 Ref:73022069,emi
Payment of Rs 12133 at Cafe Coffee Day Ref:1de76b12,food
Investment in Mutual Fund Rs 17392 Ref:8e54159f,investment
Payment of Rs 18797 at Restaurant Ref:6b87e563,food
Travel booking via Ola amount Rs 10895 Ref:0a345041,travel
Home Loan EMI deducted Rs 30361 Ref:41650226,emi
Travel booking via IndiGo amount Rs 39769 Ref:2ef9759f,travel
Travel booking via Ola amount Rs 45795 Ref:e946a63d,travel
Investment in Fixed Deposit Rs 34011 Ref:939361f7,investment
Car Loan EMI deducted Rs 16159 Ref:c8e0515d,emi
Travel booking via Ola amount Rs 44338 Ref:fa210b1f,travel
Online purchase at Reliance Trends Rs 7541 Ref:9e57c5d4,shopping
Travel booking via IndiGo amount Rs 24459 Ref:14cf0a3f,travel
Investment in Mutual Fund Rs 27903 Ref:d7c7710a,investment
Travel booking via Uber amount Rs 16582 Ref:6a5ae769,travel
Travel booking via Uber amount Rs 45080 Ref:3bf55d4f,travel
Investment in SIP Rs 36972 Ref:c004ec95,investment
Education Loan EMI deducted Rs 7811 Ref:0a03da98,emi
Online purchase at Myntra Rs 15939 Ref:29ee2167,shopping
Investment in Mutual Fund Rs 6528 Ref:8987d0fd,investment
Education Loan EMI deducted Rs 26215 Ref:9ed56b96,emi
Payment of Rs 8210 at Restaurant Ref:a5f73eef,food
Investment in Stocks Rs 21697 Ref:f1e3f905,investment
Travel booking via Metro amount Rs 13497 Ref:ad330ca7,travel
Travel booking via IRCTC amount Rs 10590 Ref:c8a36138,travel
Investment in Fixed Deposit Rs 12421 Ref:68724ce5,investment
Payment of Rs 19228 at Restaurant Ref:a5db644f,food
Investment in Mutual Fund Rs 32158 Ref:dd7ae51c,investment
Payment of Rs 7333 at McDonalds Ref:7c0e6f1e,food
Home Loan EMI deducted Rs 48660 Ref:bfae0b07,emi
Online purchase at Flipkart Rs 8304 Ref:99f0f777,shopping
Travel booking via SpiceJet amount Rs 30128 Ref:0eb9d201,travel
Investment in PPF Rs 26708 Ref:29aa5b54,investment
Investment in Stocks Rs 33537 Ref:d969bdad,investment
Payment of Rs 11226 at McDonalds Ref:92ad9ce9,food
Payment of Rs 32987 at Dominos Ref:4b4be31b,food
Investment in Fixed Deposit Rs 37810 Ref:10c606a2,investment
Investment in Stocks Rs 19332 Ref:a968b120,investment
Payment of Rs 49357 at Dominos Ref:f44daeee,food
Car Loan EMI deducted Rs 16406 Ref:4ffd786a,emi
Payment of Rs 18617 at Zomato Ref:c6cea545,food
Travel booking via SpiceJet amount Rs 42092 Ref:43574451,travel
Investment in SIP Rs 30387 Ref:597e6d4f,investment
Online purchase at Croma Rs 21703 Ref:99354d9b,shopping
Payment of Rs 33909 at Cafe Coffee Day Ref:ac12ff40,food
Online purchase at Croma Rs 12624 Ref:f860a0d8,shopping
Travel booking via IRCTC amount Rs 23110 Ref:17cd8092,travel
Payment of Rs 5253 at Restaurant Ref:b40d5b2c,food
Travel booking via IRCTC amount Rs 32430 Ref:8f385aec,travel
Online purchase at Amazon Rs 4458 Ref:2de268eb,shopping
Travel booking via Ola amount Rs 36022 Ref:891b1be7,travel
Travel booking via Uber amount Rs 12037 Ref:7cf24cda,travel
Investment in PPF Rs 2080 Ref:0fe5146e,investment
Online purchase at Croma Rs 27766 Ref:4535da74,shopping
Education Loan EMI deducted Rs 44974 Ref:42d139a5,emi
Payment of Rs 42074 at Restaurant Ref:cacf170f,food
Education Loan EMI deducted Rs 10170 Ref:cc54e692,emi
Travel booking via Ola amount Rs 10621 Ref:c002ebb4,travel
Investment in PPF Rs 5641 Ref:aa08bfd1,investment
Payment of Rs 43430 at Restaurant Ref:a3c13ff8,food
Travel booking via IRCTC amount Rs 29050 Ref:76b3eeb1,travel
Travel booking via Metro amount Rs 30074 Ref:f55ad461,travel
Travel booking via Uber amount Rs 5645 Ref:ecfa2434,travel
Personal Loan EMI deducted Rs 12757 Ref:c2b13bbe,emi
Home Loan EMI deducted Rs 34629 Ref:4babf238,emi
Online purchase at Reliance Trends Rs 29418 Ref:77c2d1b9,shopping
Payment of Rs 41911 at McDonalds Ref:02c5febd,food
Education Loan EMI deducted Rs 21601 Ref:f3967e9a,emi
Home Loan EMI deducted Rs 41215 Ref:8621edec,emi
Online purchase at Croma Rs 48464 Ref:2a2f665e,shopping
Travel booking via SpiceJet amount Rs 13206 Ref:cbae7d7a,travel
Investment in Fixed Deposit Rs 41326 Ref:607c85ed,investment
Investment in Fixed Deposit Rs 13672 Ref:675e971c,investment
Investment in Stocks Rs 11675 Ref:71b04612,investment
Personal Loan EMI deducted Rs 31098 Ref:2c0f2f8f,emi
Investment in SIP Rs 19328 Ref:276afc21,investment
Travel booking via Metro amount Rs 2199 Ref:aaadc7a1,travel
Investment in Stocks Rs 46248 Ref:98014c47,investment
Payment of Rs 34763 at Restaurant Ref:402e01ad,food
Investment in SIP Rs 17954 Ref:3a23969d,investment
Home Loan EMI deducted Rs 42737 Ref:1ae52016,emi
Investment in PPF Rs 23297 Ref:5294a79c,investment
Investment in NPS Rs 27329 Ref:5a637f3b,investment
Personal Loan EMI deducted Rs 3580 Ref:22514bf9,emi
Investment in Mutual Fund Rs 10333 Ref:82b350af,investment
Investment in Fixed Deposit Rs 26875 Ref:028e6ad1,investment
Payment of Rs 8788 at Cafe Coffee Day Ref:ba8eed28,food
Payment of Rs 11819 at McDonalds Ref:86fe4562,food
Home Loan EMI deducted Rs 11715 Ref:8de43e19,emi
Investment in SIP Rs 40670 Ref:6a67d70f,investment
Payment of Rs 34251 at Swiggy Ref:b19135a2,food
Investment in NPS Rs 30782 Ref:db271c09,investment
Investment in SIP Rs 19855 Ref:c831fa4c,investment
Travel booking via Metro amount Rs 32199 Ref:aa1391ab,travel
Travel booking via IndiGo amount Rs 47390 Ref:620ec0c2,travel
Investment in NPS Rs 37330 Ref:989a8224,investment
Travel booking via SpiceJet amount Rs 13303 Ref:05f6a325,travel
Payment of Rs 22379 at Cafe Coffee Day Ref:421f5321,food
Online purchase at Reliance Trends Rs 38086 Ref:a86cfc78,shopping
Travel booking via Uber amount Rs 26611 Ref:0f61df27,travel
Travel booking via IndiGo amount Rs 15351 Ref:20296ef8,travel
Payment of Rs 31911 at Dominos Ref:874c500f,food
Payment of Rs 22220 at Swiggy Ref:0ab92868,food
Travel booking via IndiGo amount Rs 35434 Ref:1f038152,travel
Home Loan EMI deducted Rs 6574 Ref:0ea1e22e,emi
Payment of Rs 45165 at Cafe Coffee Day Ref:05b35c81,food
Investment in NPS Rs 33537 Ref:33f6b96e,investment
Home Loan EMI deducted Rs 18216 Ref:cc28e00a,emi
Payment of Rs 1697 at Dominos Ref:5356bbe6,food
Online purchase at Myntra Rs 7313 Ref:025c493a,shopping
Payment of Rs 8472 at Restaurant Ref:a32178b2,food
Travel booking via SpiceJet amount Rs 21748 Ref:b9e62be1,travel
Travel booking via Metro amount Rs 45471 Ref:9fd5b160,travel
Travel booking via Uber amount Rs 24319 Ref:ffd8d401,travel
Investment in Fixed Deposit Rs 40947 Ref:dd926be9,investment
Payment of Rs 49757 at Dominos Ref:2e948c62,food
Investment in Fixed Deposit Rs 20845 Ref:b13956d3,investment
Travel booking via Metro amount Rs 16241 Ref:f1adc7a8,travel
Investment in NPS Rs 48197 Ref:ade759a3,investment
Investment in Fixed Deposit Rs 43701 Ref:5bb07ed7,investment
Travel booking via Ola amount Rs 27145 Ref:751a5a36,travel
Travel booking via IRCTC amount Rs 29674 Ref:285de8ee,travel
Car Loan EMI deducted Rs 23050 Ref:3932875c,emi
Online purchase at Flipkart Rs 30398 Ref:949a1e6d,shopping
Online purchase at DMart Rs 45015 Ref:fdb40e7e,shopping
Payment of Rs 2965 at Cafe Coffee Day Ref:876fb40f,food
Payment of Rs 32852 at Dominos Ref:80a4a95c,food
Education Loan EMI deducted Rs 27554 Ref:41f00933,emi
Investment in NPS Rs 24139 Ref:bca2ee41,investment
Personal Loan EMI deducted Rs 9431 Ref:03afd523,emi
Home Loan EMI deducted Rs 110 Ref:f044a683,emi
Education Loan EMI deducted Rs 24744 Ref:a2b0251e,emi
Travel booking via Uber amount Rs 24004 Ref:a93b416c,travel
Payment of Rs 17460 at Zomato Ref:674d0cc7,food
Personal Loan EMI deducted Rs 23054 Ref:109ae070,emi
Payment of Rs 12343 at Zomato Ref:de361fd3,food
Online purchase at Myntra Rs 40481 Ref:538acbfc,shopping
Investment in Mutual Fund Rs 37364 Ref:078511d0,investment
Travel booking via IndiGo amount Rs 29944 Ref:501a73d8,travel
Online purchase at DMart Rs 36373 Ref:904b3dbf,shopping
Investment in Mutual Fund Rs 1450 Ref:c5450278,investment
Payment of Rs 1756 at Swiggy Ref:f5758aa4,food
Personal Loan EMI deducted Rs 45988 Ref:b5158307,emi
Personal Loan EMI deducted Rs 43182 Ref:377efff5,emi
Travel booking via Metro amount Rs 21279 Ref:7d767649,travel
Home Loan EMI deducted Rs 17872 Ref:b2ad1731,emi
Online purchase at Myntra Rs 29354 Ref:306fe069,shopping
Education Loan EMI deducted Rs 25550 Ref:11777244,emi
Personal Loan EMI deducted Rs 2868 Ref:bc4b59d8,emi
Online purchase at Amazon Rs 3846 Ref:6f571e19,shopping
Online purchase at Croma Rs 6132 Ref:cdccad88,shopping
Investment in SIP Rs 41315 Ref:7e97ced8,investment
Education Loan EMI deducted Rs 9794 Ref:b1b1d320,emi
Travel booking via IRCTC amount Rs 29253 Ref:7e4f2b53,travel
Personal Loan EMI deducted Rs 1867 Ref:89438822,emi
